Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,GTIN,MPN,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,clothing,,Matilda Jane Fall Leave Dress Size l,"<p>Matilda Jane Fall Leave dress for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-MATILDAJ-29,,,Size,L,,,,,24.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, matilda, dress",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Matilda%20Jane%20Fall%20leave%20dress%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Matilda%20Jane%20Fall%20leave%20dress%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Matilda%20Jane%20Fall%20leave%20dress.jpg"
,,PHYSICAL,clothing,,Mini Boden Floral Long Sleeve Shirt Size M,"<p>Mini Boden Floral long sleeve shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-MINIBODE-32,,,Size,M,,,,,16.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, mini, long sleeve shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20floral%20long%20sleeve%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20floral%20long%20sleeve%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20floral%20long%20sleeve.jpg"
,,PHYSICAL,clothing,,Mini Boden Unicorn Button-Up Shirt Size 8,"<p>Mini Boden Unicorn button-up shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-MINIBODE-33,,,Size,8,,,,,18.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, mini, button-up shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20unicorn%20button%20up%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20unicorn%20button%20up%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20unicorn%20button%20up.jpg"
,,PHYSICAL,clothing,,Minus Zero Grey Zip-Up Size 4T,"<p>Minus Zero zip-up for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p><p><strong>Materials:</strong> 100% Polyester</p>",SC-MINUSZER-34,,,Size,4T,,,,,7.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, minus, zip-up",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/minus%20zero%20zip%20up%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/minus%20zero%20zip%20up%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/minus%20zero%20zip%20up.jpg"
,,PHYSICAL,clothing,,The North Face Long Sleeve Zip-Up Size S,"<p>The North Face Long Sleeve zip-up for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-THENORTH-35,,,Size,S,,,,,22.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, the, zip-up",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/northface%20long%20sleeve%20zip%20up%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/northface%20long%20sleeve%20zip%20up%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/northface%20long%20sleeve%20zip%20up.jpg"
,,PHYSICAL,clothing,,Patagonia Overalls Size sM,"<p>Patagonia overalls for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-PATAGONI-36,,,Size,SM,,,,,32.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, patagonia, overalls",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/patagonia%20overalls%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/patagonia%20overalls%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/patagonia%20overalls.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Multicolor Plaid Long Sleeve Shirt Size 8,"<p>Ralph Lauren polo shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RALPHLAU-42,,,Size,8,,,,,18.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, polo shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Ralph%20Lauren%20polo%201.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%201%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Ralph%20Lauren%20polo%201%20fabric%20tag.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Black Chiffon Sleeveless Dress Size 12,"<p>Ralph Lauren Black dress for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RALPHLAU-43,,,Size,12,,,,,26.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, dress",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Ralph%20lauren%20black%20dress%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Ralph%20lauren%20black%20dress%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Ralph%20lauren%20black%20dress.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Polo Shirt Size l,"<p>Ralph Lauren polo shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RALPHLAU-44,,,Size,L,,,,,18.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, polo shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%202%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%202%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%202.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Prep Dress Size M,"<p>Ralph Lauren Prep dress for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RALPHLAU-45,,,Size,M,,,,,24.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, dress",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20prep%20dress%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20prep%20dress%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20prep%20dress.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Polo Bear Snow Dress Size 10,"<p>Ralph Lauren Snow Bear dress for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RALPHLAU-46,,,Size,10,,,,,28.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, dress",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20snow%20bear%20dress%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20snow%20bear%20dress%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20snow%20bear%20dress.jpg"
,,PHYSICAL,clothing,,Wonder Nation Red Long Sleeve Top Size XS (4-5),"<p>Red long sleeve shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-WONDERNA-47,,,Size,xS (4-5),,,,,5.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, wonder",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/red%20long%20sleeve%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/red%20long%20sleeve.jpg"
,,PHYSICAL,clothing,,Van Heusen Red Long Sleeve Button-Up 4-Piece Set,"<p>Van Heusen Red Long Sleeve button-up shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-VANHEUSE-48,,,Size,S,,,,,7.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, van, button-up shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/van%20heusen%20red%20long%20sleeve%20button%20up%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/van%20heusen%20red%20long%20sleeve%20button%20up.jpg"
,,PHYSICAL,clothing,,Vineyard Vines Zip-Up Size s,"<p>Vineyard Vines zip-up for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Materials:</strong> 100% polyester</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-VINEYARD-49,,,Size,S,,,,,22.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, vineyard, zip-up",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/vineyard%20vines%20zip%20up%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/vineyard%20vines%20zip%20up%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/vineyard%20vines%20zip%20up.jpg"
,,PHYSICAL,clothing,,Cat & Jack Yellow Plaid Shirt Size M,"<p>Cat &amp; Jack Yellow Plaid Shirt clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Materials:</strong> 100% COTTONWASH BEFORE WEAR, MACHINE WASH COLD WITH LIKECOLORS, GENTLE CYCLE, ONLY NON-CHOLORINE BEACHWHEN NEEDED, TUMBLE DRY MEDIUM, DO NOT DRYCLEAN, REMOVE PROMPLY, WARM IRON IF NEEDEDRM1730 WV1205859LABEL MADE FROM 100% RECYCLED PLASTIC</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-CATJACK-50,,,Size,M,,,,,7.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, cat",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/yellow%20plaid%20shirt%20cat%20%26%20Jack%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/yellow%20plaid%20shirt%20cat%20%26%20jack%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/yellow%20plaid%20shirt%20cat%20%26%20Jack.jpg"
,,PHYSICAL,clothing,,Zara Black Chunky Knit Sweater Size 6-7,"<p>Zara Comfy sweater for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p><p><strong>Materials:</strong> 88% Acrylic / 8% Polyamide / 4% Polyester</p>",SC-ZARA-51,,,Size,6-7,,,,,12.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, zara, sweater",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Zara%20comfy%20sweater%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Zara%20comfy%20sweater%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Zara%20comfy%20sweater.jpg"
,,PHYSICAL,clothing,,Zara Green Long Sleeve Shirt Size 10,"<p>Zara Green long sleeve shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-ZARA-52,,,Size,10,,,,,10.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, zara, long sleeve shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/zara%20green%20long%20sleeve%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/zara%20green%20long%20sleeve%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/zara%20green%20long%20sleeve.jpg"
,,PHYSICAL,clothing,,Zara Pink Polka Dot Dress Size 10,"<p>Zara Polka Dot clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-ZARA-53,,,Size,10,,,,,14.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, zara",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Zara%20polka%20dot%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Zara%20polka%20dot%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Zara%20polka%20dot.jpg"
,,PHYSICAL,clothing,,Zara White Prairie Lace Shirt Size 9,"<p>Zara Prairie Shirt clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-ZARA-54,,,Size,9,,,,,12.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, zara",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Zara%20prairie%20shirt%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Zara%20prairie%20shirt%20detail.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Zara%20prairie%20shirt%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Zara%20prairie%20shirt.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Polo Shirt Size L,"<p>Ralph Lauren polo shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p><p><strong>Materials:</strong> 100% Cotton</p>",SC-RALPHLAU-55,,,Size,L,,,,,18.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, polo shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%203%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%203%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%203.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Polo Shirt,"<p>Ralph Lauren polo shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RALPHLAU-56,,,,,,,,,15.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, polo shirt",,,,,Yes,https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%204.jpg
